2025-10-15T00:00:00Z|10|2
2025-10-16T00:00:00Z|185|3
2025-10-17T00:00:00Z|115|12
2025-10-18T00:00:00Z|192|12
2025-10-19T00:00:00Z|156|9
2025-10-20T00:00:00Z|76|9
2025-10-21T00:00:00Z|48|9
2025-10-22T00:00:00Z|40|5
2025-10-23T00:00:00Z|179|21
2025-10-24T00:00:00Z|28|9
2025-10-25T00:00:00Z|41|12
2025-10-26T00:00:00Z|34|10
2025-10-27T00:00:00Z|87|10
2025-10-28T00:00:00Z|46|11
2025-10-29T00:00:00Z|26|9
2025-10-30T00:00:00Z|11|6
2025-10-31T00:00:00Z|7|3
2025-11-01T00:00:00Z|14|6
2025-11-02T00:00:00Z|23|11
2025-11-03T00:00:00Z|19|8
2025-11-04T00:00:00Z|13|4
2025-11-05T00:00:00Z|24|11
2025-11-06T00:00:00Z|42|13
2025-11-07T00:00:00Z|18|6
2025-11-08T00:00:00Z|36|12
2025-11-09T00:00:00Z|25|12
2025-11-10T00:00:00Z|21|9
2025-11-11T00:00:00Z|34|10
2025-11-12T00:00:00Z|20|8
2025-11-13T00:00:00Z|41|10
2025-11-14T00:00:00Z|32|7
2025-11-15T00:00:00Z|24|9
2025-11-16T00:00:00Z|21|12
2025-11-17T00:00:00Z|24|8
2025-11-18T00:00:00Z|92|10
2025-11-19T00:00:00Z|52|8
2025-11-20T00:00:00Z|20|9
2025-11-21T00:00:00Z|8|6
2025-11-22T00:00:00Z|27|10
2025-11-23T00:00:00Z|64|17
2025-11-24T00:00:00Z|16|12
2025-11-25T00:00:00Z|20|9
2025-11-26T00:00:00Z|50|10
2025-11-27T00:00:00Z|18|9
2025-11-28T00:00:00Z|42|8
2025-11-29T00:00:00Z|17|8
2025-11-30T00:00:00Z|41|11
2025-12-01T00:00:00Z|10|5
